Yorum,Duygu
"""Urun sorunsuz elime ulasti. Is yerim icin aldim, cok memnunum.""",1
"""Cidden harika bir urun, ogrenci evim icin aldim, cok guzel. Harika bir urun, guzel sogutuyor.""",1
"Urun guzel, kargoda sorunsuz.",1
"Sorunsuz sekilde teslim aldik, fiyat performans cok guzel, tesekkurler ",1
"""Hersey cok guzel ve hizli bir sekilde geldi, tesekkurler. Iyi aksamlar.""",1
"""Guzel kullanisli no frost olmasi sebebiyle tercih ettim en fazla 4 kisilik aileler icin ideal umarim uzun sureli kullanimi olur.""",2
"""Urun nokta hasarsiz geldi kuruldu cok memnunum tavsiye ederim Trendyol da tesekkur ederim.""",1
"""Memnun kaldik.""",1
"""Indirimdeyken almistim. Kargo ile de sorun yasamadim. MasaAllah Gercekten cok guzel sogutuyor. 3 kisilik aileyiz, bizim icin bile oldukca buyuk. 4 kat rafi var. Ben cok memnunum.""",1
"""Buzdolabini anneme aldim. Horoz lojistik ve media markt cok iyi is cikardi. Siparisim ertesi gunu yola cikti ve iki gun sonra geldi. Ertesi gunu de servis gelip kurulumu yapti. Buzdolabi cok guzel, cok kullanisli, gayet genis ve ferah.""",1
Cok guzel bir urun genis baya anneme de aldik,1
Mukemmel bir dolap indirimde aldim cokta memnun kaldim tavsiye ederim,1
sorunsuz ve kisa surede elime ulasti servis ertesi gun gelip kurdu dolap da hacmi cok genis kullanisli samsung kalitesi...,1
Anneme hediye aldim. Cok begendi. Guzel kullanisli🤌,1
Daha kurulum yapilmadi insallah guzeldir. Yorumlara bakarak aldim,1
indirimden almistim 2. evime almadigima pisman oldum,0
urunu cok begendim cok tesekkur ederim,1
Guzel saglam geldi ve sorunsuz. Tesekkur ederim satici ve Trendyola,1
argos elektronige cok tesekkur ederim okadar ilgili bir saticiki kargo sorunuyla bile yakinen ilgilendi.Dolabin kurulum bugun oldu kullanmadan yazmak istemedim bu fiyata alinabilecek en iyi dolap alacaklara tavsiye ederm hem ideal genislikte hemde Samsung kalitesi tabiki tencereler rahat sigiyor ust kahvaltilik bolumu olsn enalt sebzelign genisligi,1
Harika tesekkurler trentyol,1
sorunsuz geldi gayet guzel memnun oldum,1
sorunsuz geldi tsk ederim,1
cok guzel kaliteli bi urun sebzeleri haftalarca taze tutuyor siddetle tavsiye ederim,1
Muko kesin alin,1
gayet sorunsuz geldi tesekkurler,1
Cok guzel cok memnun kaldim tesekkur ederim ,1
"Mukemmel, Tesekkurler Trendyol.",1
cok memnunum tavsiye ederim cok guzel cok kullanisli vede cok guzel geldi teslimat cok guzel elinize saglik cok tesekkur ederim ,1
Cok begendim sorunsuz teslim aldim sogumasi mukemmel kalabalik aileler icin biraz ufak4 kisilik aile icin ideal sadece ayak tekerlekleri gorunmese daha iyi olurdu,1
Harika tesekkur ederim,1
cok hizli teslim edildi kaliteli urun,1
gayrt iyi dolap,1
sorunsuz bir urun aldim emegi gecenlere cok tesekkur ediyorum,1
Evde kullandim memnun oldugum icin is yerimede aldim,1
Sorunsuz teslim edildi. Ic hacmi genis yedek olarak almistim kurtarici oldu. Buzluk kisminin sogutucu olarak kullanilmasi super,1
Piyasaya gore daha uygun fiyata aldik guzel bi urun ust bolmesini dondurucu olarak kullanmak istemezseniz ayari var ona gore ayarlayip normal buzdolabi seklinde de kullanabilirsiniz ici genis bi evin ihtiyacini karsilayabilir bence almak isteyenler dusunmeden alsin,2
"Samsung Coling tower sogutma ozelligiyle fakli bir buzdolabi  urun , kalitesi kendini gosteriyor. Tesekkurler Trendyol. ",1
Tereddut ederek aldim 1 aydir kullaniyorum tavsiye ederim,1
"ic genislik olsun sessizligi olsun 10 numara ozellikler ve goruntusu cok iyi , camasir ve bulasik makinalari gurultulu en azindan buzdolabi iyi cikti",1
"Hem urunden, hem de firmadan aldigim hizmetten son derece memnunum. Hizli teslimat, teslimat sonrasi hizli ve sorunsuz cozum ve hizmet. Daha ne olsun? Cok tesekkur ederim.",1
guzel kullanisli,1
ic hacmi baya genis ve kulanisli samsung kalitesini bilen bilir anltmaya gerek yok,1
Tek kelime ile harika..,1
urunu cok begendim,1
iyi guzel,1
Urunu tavsiye ediyorum,1
urunu cok hizli ve hasarsiz teslim aldik ici genis cok kullanisli tesekkurler,1
Dunyanin en kotu urunu,0
Cok memnunum. Farkli urunler icin farkli sogutma seviyelerine sahip alanlarin olmasi cok guzel. Servis de hizli geldi ve cok ilgiliydi,1
"Alali neredeyse 1 sene olacak cok memnun kaldik, tavsiye ederim.",1
mukemmel bir urun,1
samsung bir urune hep gozum kapali guvenirimmm,1
urun gayet guzel ve kullanisli kargo hizmetleri son derece guzel tesekkurler,1
Gayet guzel,1
kayinvalideme aldik ve gayet memnunlar sorunsuz ulasti,1
boyutu iyi begendim memnun kaldim,1
Isyerine aldik cok memnunum,1
Fan biraz ses cikariyor ama rahatsiz edici bir seviye de degil ... Bir buzdolabindan istediginiz herseyi veriyor,1
Efsane tavsiye ederim,1
Ici genis kullanisli urunu cok begendik tesekkur ediyoruz tavsiye ederim,1
"Samsung kalitesi 1 ay oldu kullaniyorum asirisi sessiz calistigini anlamiyorum bile, sogutmasi ise harika yicekler guvende",1
mediamarkt son derece iyiydi tesekkurler ama arvato diye bir kargoyla gonderiyorlar hayatimda gordugum en kotu kargo sirketi.iade icin gunlerce  beklettiler ne subesi var ne numarasi ulassaniz bile bilgi veremeyiz diyorlar,0
"Orta segmentte alinabilecek en guzel buzdolabi, fiyati ucuz ama parcalari pahaliymis ilave sigorta yaptirdim. Kargo cok hizli geldi, sorunsuz kurulum, sesi az, terlemeyi yanlardan veriyormus o yuzden yanlari sicak olabilir dediler ama 3 gundur kullaniyorum son derece normal bi sicaklik var yan taraflarinda. Icine 2 buyuk tencere yarim karpuz gibi",1
Simdilik cok iyi,1
Cok guzeldi ,1
Istanbul / Kucukcekmece de oturuyorum 5 haziranda siparis verdim 7 haziranda oglen geldi. Tasima iyiydi distan herhangi bi kusuru yoktu. Ceyiz icin aldim. Umarim kurulum zamaninda cihazdada bi sorun cikmaz. Tesekkur ederim ilginiz icin. ,1
Tavsiye ederim arastirip almistim,1
Raflar biraz ince ama samsung kalitesi hissediliyor,1
Gayet guzel kullanisli buzzz gibi yapiyor konforlu cok memnunuz ☺️,1
cok guzel tavsiye ediyorum,1
memnunum  tavsiye ederim,1
Cocugum icin  aldim. Amator kullanicilar icin beklentinin otesinde.  Tam bir fiyat  performans urunu.,1
"yegenim e aldim cok begendi, surpriz yaptim , cok hizli gitti firmaya ve kargoya cok tesekkur ederim yanliz istedigi degilmis ,iade edip istegini alacagiZ sizi gordugum icin kusura bakmayin :",
arkadasimin 7 yasindaki cocuguna hediye aldim. cocuk icin yeterli hafiza karti eklemek gerekiyor,2
Fiyatina gore is gorur. Daha profesyonel seyler dusunuyorsaniz yuksek fiyatli urunleri almaniz gerekiyor ben oglumu aldim oglum bile kendi capinda video cekmesine ragmen gozu bir tek yukarlarda,2
Kuzenim icin aldik cok begendik yasi kucuk olanlar icin ideal,1
"Su altinda goruntu zayif, ne cektiginizi gormeden cekiyorsunuz.  Bazen karti okumuyor  gibi ama acip kapatinca duzeliyor.  Ama f/p olarak iyi. Yazin su altinda eglenceli fotograflar ve videolar cektik. Guzel bir hatira kaldi. Cocuklarin gonlu oldu. Bence bu yeterli.",0
Tam bir fiyat performans urunu. Su alti denedim. Yeni baslayanlar icin oneririm.,1
sorunsuz geldi memnun kaldik,1
eski teknoloji gibi ama idare eder duruyor. cok uygun fiyata aldim acildigina sukur :)) ben eglencesine aldim denemek icin guzel duruyor,1
gercekten mukemmel goruntuler elde ediyorum. eski bir selfie cubuguna takip denizde samandiralarin ipine sabitleyip video cekiyorum sonra bilgisayarda videolari kirp diyince mp4 formatina otomatik geciyor bu sekilde telefonuma aktarabiliyorum avi formatini telefonlar desteklemiyo. ve begendigim anlarin ekran goruntusunu aliyorum. profesyonel,1
cok guz3l urun,1
vasat urun,0
"Havuzda kullandik, sorunsuz. Kullanimi kolay fakat goruntuleri bilgisayara yukleyemedik. Fotograflar yuklendi ,videolar gozukmuyor.",2
is gorur ufak cocuklar icin iyi,1
"Hafiza problemi var, desteklemeyeceginden oturu cok yuksek gb kullanamiyorum. Sarji cabuk bitiyor goruntu kalitesi fena degil. Fiyat performans olarak bakildiginda muadillerin arasinda iyi duruyor.",2
hafiza kartsiz geliyor cok dandik birsey goruntu kalitesi sifirin altin 1980 model araba gibi dusunun berbat otesi,0
Cok guzel yazin kullanicaz,1
Goruntu kalitesi biraz dusuk ama yinede kullanilabilir,2
F/p urunu cok yuksek goruntu kalitesi beklemeyin 480p gibi puslu ama idare eder profesyonel kullanim degil de amator kullanim icin uygun,2
daha deneme firsatim olmadi ama kargo cok hizli geldi butun aparatlari saglam ve eksiksiz guzel duruyor goruntu kalitesi cok guzel degil ama fiyatina gore guzel bir urun,2
"Hafif, goruntu kalitesi guzel denilebilir bu kamera icin. Sarji cabuk bitiyo ama.",2
"Tam bir fiyat performans urunu. Gunluk trafik akisinizi kaydedecekseniz ideal bir kamera.  Olumlu taraflari : Fiyatina gore goruntu kalitesi iyi, urun tum aparatlarla beraber geliyor. Sarzi 2",
Kullandik guzel,1
cok bi kalite beklemeyin. kizim vakit gecirsin diye almistim. ara ara kendiliginden kapaniyo. fakat beklentimi karsiladi.,0
gayet iyi begendik,1
Kalitesiz almayin,0
Kotu yorumlara bakmayin 720p cekimde efsane su altinda da cok iyi cekiyo mikrofonuda baya iyi,1
"Goruntu kalitesi kotu, 12 mpx ile alakasi yok.",0
cok kotu bence almayin paraniza yazik,0
Fiyat performans acisindan iyi bir urun,1
her sey cok iyiydi. bol bol kullandik. gayet basarili bi urun,1
Goruntu kalitesi zayif ve hafiza karti icinde yok ama hos bir kamera.,1
Kizim cok istedi aldik cok memnun tatilde havuzda cekim yapmayi dusunuyor bakalim nasil olacak,2
cok guzel cihaz,1
Bence gayet guzel,1
cok bisey beklememek lazim fiyatina gore,2
Fiyat performans urunu denemek icin uygun bir fiyata aldik memnun kaldik,1
Kullanisli ,1
Arac ici kamera olarak kullaniyorum gayet guzel,1
malesef ,0
Malzeme kalitesi cok iyi degil,0
Cok guzel,1
Urun guzel ve kullanisli,1
Bekledigim gibi geldi. Goruntu kalitesi cok yuksek degil ama orta cekimde iyi.,2
guzel urun hizli kargo,1
harika bu fiyata bu urun,1
su alti deniz kamerasi efsane cok guzel cok net gosteriyor,1
oyuncak olarak alinabilir.,0
beyaz ekran ,0
Keske icine kamerayida koysaydiniz.,0
fiyat performans urunu hizli satici memnun kaldik,1
urun video cekimi yapmiyor,0
Fiyat performans urunu. Kullanisli. Cok iyi cekim yapmiyor ancak zaten bu fiyata buyuk bir beklentiyle almadim. Oglum tatilde kullansin diye aldim. Hafiza kartini ayrica almaniz gerekiyor. O da icinden ciksa daha iyi olurmus.,2
goruntu kalitesi kotu. kayit yapiyor ama cok bulanik.,0
su alti kamerasi olarak guzel cekim,1
Urun fiyatina gore guzel .Satici cok ilgili .Tesekkurler..,1
urunu aldim fakat kullanmaya daha zamanim olmadi.sualti cekimi iyiyse benim icin tamamdir.,2
fiyat performans acisindan iyi idare eder bir kamera,2
fiyat6na gore iyi is gorur,1
Fiyata gore iyi ama gerek yok,2
"Kesmiyor etleri yoluyor, kalitesi dusuk ve farkli marka yollanmis.",0
hala gelmediiiiii,0
Ablama hediye olarak aldim. cok begendi sarisi cok acik rengi degil ama tam goruldugu gibi de degil orta indirimdeyken alinmasini oneririm,2
Urunu hediye olarak almistim indirimden aldim cokda kaliteli degil indirimden aldigim icin iade etmedim,2
Kayinvalidem hediye aldim kumasina ve modelini begenmis,1
urunu begebdim indirimden almistim,1
merhabalar gozel set aldim beyendim ve 4tane aldim guzel ve rahat kulanislidir yikamada sorun olmadi tsk imdirim olursa haber verin sayqlarla,1
Sakin ama sakin almayin buyuk bir istekle surpriz olarak almak istedim fakat gelen urun sonrasi mahcup oldum parama yazik bildiginiz naylon ve rengi cok soluk haketmiyor parayi kesinlikle,0
Cok guzel deseni var. Hediye aldik bayildilar. Biraz pahali ama. Osmanli desenleri severler bayilir.,1
Gold ve avangart asigi biri olarak cok begenerek aldigim ve cok severek kullandigim bir urun. Tesekkurler trendyol,1
Anneme indirimden almistik cok kaliteli bir urun degil ince ve tek yikamada rengi soldu,0
indirimde almistim ama yine de fiyatina gore kalitesi cok dusuk iade ettim,0
daha once alip kullanmak icin sakladigimiz bir urundu 30 C de yikanmasina ragmen renk atti camasir suyu degmis gibi oldu kesinlikle kaliteli bir kumasida yok asla tavsiye etmiyorum asla bu sayfadan birdaha alis veris yapmayacagim,0
Asla gorsele aldirmayin gorundugu gibi gelmedi anneme hediye almistim ben uyurken kargo gelmis annem alip makineye atmis yikamak icin yoksa aninda iade ederdim yan dikislerini sokup tekrar dikmisler erbat duruyor rengi soluk kumasi kalitesiz sakin almayin,0
urun bugun elime gecti 30  derecede yikadim cok buyuk husrana  ugradim mahcubiyetimi ise anlatamam anneme hediye almistim  rengi tamamen soldu gorundugu gibi asla degil cok yazik ....,0
urun cok guzel cok kaliteli ceyiz hediyesi almistim indirimden memnun kaldim,1
bu urunu hediye almistim ben cok begendi hediye ettigim kisi cok guzel dedi,1
Ceyizime aldim efsooo,1
Bu fiyata daha duzgun bir sey alinabilir. Tek guzel olan tarafi desen. Kumasi pek kaliteli degil. Indirimde aldigima ragmen degmedi,0
hediye aldim cok begendiler.,1
Hediye aldik ve cok kullanisli,1
uc kurus  fazla olsun kaliteli olsun. ablama hediye aldim rengi soluk geldi sonra  yikandi renk menk kalmadi paraniz bosa gitmesin almayin.,0
hediye olarak aldim cok begebdiler,1
kalitesi fazla iyi degil sus amacli kullanilabiliyor,2
urunden iki tane aldim ama birinin carsafini cift kisilik olmasina ragmen tek kisilik koymussunuz  ve butun guzelligi batirdiniz cok sagolun gercekten ,0
Fiyati urune gore uygun rengi de canli aynisi gibi geldi tesekkurler Trendyol,1
ASLA ALMAYIN ASLA !!! PARANIZA YAZIK 1 KERE YIKAYINCA RENGI SOLUYOR CIFT KISILIK YERINE TEK KISILIK CARSAF YOLLAMISLAR,0
