Season,Time,Content,Sentiment
İlkbahar,Sabah,halkim bir suru ben bunlari nasil duduklerim oy oy diye taklalar atan kurum,
Sonbahar,Akşam,napacagi belli olmayan basketbol takimi,
Kış,Sabah,bazen mit gibi calistigini dusundugum ilginc sirketzamaninda irc de rastladigim birisi muhabbet arasinda bana turk nokta net ten baskasinin kredi karti ile yaptigim alisverislerden bahsetmisti daha sonra tansu ciller ve emailla yoladigi gizli dosyalar gibi ucuk hikayeler anlatmisti ama irc deki birisinin durup dururken nasil olupda kimin kredi kartindan ne kadar harcadigimi bildigini merak etmisimdirtelekomdaki telefon numarasinida verdiydi bu abimiz ara dediydi,
İlkbahar,Sabah,data devrelerine yaptigi fahis zamla isp leri cileden cikarmis ulan verdigin hizmet ne aldigin para ne  dedirten kurulus sayelerinde 56 k ve cable  modemden ilerisini goremeyen bir ulus olacagiz,
İlkbahar,Öğlen,ozellestirilmesinin cok seyi degistirmeyecegine inandigim sirket telekom u satin alacak sirket kar realizasyonuna gidecek ve belki de internet kullanicilarina daha beter eziyet cektirebilecektir gsm misali lisans cogaltilmadikca ve rekabet ortami olusturulmadikca turkiye internet magdurlari dernegi en buyuk sivil olusum olacaktir,
İlkbahar,Öğlen,ozellestirildiginde herseyin daha da boktan bir hala alacagini ve telefonun lux bir iletisim araci olacagina inandigim kurulusayrica devlet 1020 milyar  arasi bir fiyata satacagini duydugumda devletin kâr yerine buyuk zararlar edecegini dusunuyorumayrica hali hazirda bulunan abone degerinin fiyata eklenmedigi ve sadece binalarin ve makinalarin degerine satilacagi da dusunulerek devletin ne bokuna satmaya calistigini anlayamadimayrica imf ve abdnin illa da ozellestirin diye baski yapmasi da baska bir sorunozellestirilmis bir tekelin nelere yol acacagini ise dusunmek bile istemiyorum,
Yaz,Akşam,ben iyi gunler turk telekom mutt evet buyrunben benim adsl baglantimda bir sorun var nereyle konusmam gerek acabatt bir saniye sizi ozel devreler bolumune bagliyorumtt buyrunben iyi gunler benim adsl hattt bir sn sizi bagliyorumben iyi gunler benim adsl hattimda bir sorun vartt buyrun sorun nedirben dun aksamdan beri sinyal gelmiyor modemett hmm nedir modeminiz ben cart curttt isiklar nasil yaniyor  kirmizi  yesil ben kirmizi hanfenditt abone no alabilir miyimben xxxxxxxxxtt bir sn lutfentt efendim hattiniz borctan kapatilmis ne borcu ben ne borcu hanfendi odedim bentt size bir no veriyorum arayip sorabilirsinizben alayimaranirben iyi gunler benim hede hattim borctan dolayi kapanmis bir bakar misiniz ben odemistimtt bakayim tt bir sntt beyfendi borcunuz yok ben birazdan actiririmben eh sagolunburda merak ettigim acaba ttdekiler neye gore hat kesiyorlarkura cekilis falan mi yapiyorlar can sikintisindan ,
Yaz,Öğlen,bkz türk tenekekom,
Sonbahar,Öğlen,,
Kış,Öğlen,acıbademde  avrupa yakasının bile belirli bölgelerinden görülebilen bir binası olan kuruluş,
Kış,Öğlen,evde kalmış kız kurusu,
İlkbahar,Sabah,bkz turk telekom rezilligi,
İlkbahar,Öğlen,0822li numaralarda çevrilen numara meşgul olsa dahi hattı meşgul ettiğimiz için bizden para alan yegane telefon şirketi,
İlkbahar,Sabah,işe yarayan bir eser üretmediği gibi üstüne üstlük kâr rekoru kıran kuruluş,
İlkbahar,Sabah,son baktigim uluslararasi tarifeden sonra gercekten birden kanimin isindigi bir kurum haline gelen turkiyenin telekominikasyondan sorumlu kurumu 2 ay once yaklasik 2 milyon lira olan amerika arama ucretini gunduz 850000 liraya indirmis geceleri saat 10 dan sonra ise 550000 lira amerikadan turkiyeyi aradigimiz ucuz dedigimiz telefon kartlari ile yakin bir fiyata cekmis ayrica turkiyede evden cep telefonu aramanin yaklasik ayni fiyat oldugu dusunulunce gercekten ise yarar bir sey yaptiklari icin tebrik ediyorum,
Yaz,Sabah,sabit telefondan internet kullanım ücretini saati 500 bin yapıp  gelen tel faturasının asgari ücretin üstünde olduğunu görünce önce utandıran sonra onlar utansın dedirten şirket,
Yaz,Öğlen,internete bağlanmak için her denemede bir kontör parası olan 59000 tl yi hiç sormadan faturaya ekleyen güzel kurumeğer bağlanamazsanız hiç ilgilendirmez telekomubağlansaydın der geçersonra bir deneme daha ve haşırt bir 5900 tl daha sonra bir dahabir dahabu tıpkı durakta bekleyipte gelen otobüse çok kalabalık olduğu için binemeyen birindenbinmeyi denediği için ücret almaya benziyorhizmeti yetersizmişhatlar kaldırmıyormuş bu kadar kullanıcıyı hiç ilgilendirmez bu kurumubağlantıdan düşerseniz bir 59000 daha sokar sizedüşmeseydin derişte böylesine güzel bir kurumdur bu ha bir de kendi kafasına göre sakıncalı gördüğü sitelere sansür koyar buradaki güzel abilergerçi ttnet falan diyecekler ama ne farkederha ali hoca ha hoca ali,
Yaz,Öğlen,yirmi dakikada bir telefon bir de kablo tv başvurusunu kabul edip ve bütün bunları iki gün içerisinde adrese de bağlayıp beni ikinci defa dumurdan dumura sürükleyen şirket birinci dumur için bkz  hem de çalışıyor,
Yaz,Gece,kullanıcıları internete uyguladığı indirimli tarifeyi kaldırıp 822li hatları şehirlerarası tarifeyle ücretlendirmekle tehdit eden aycellin yatırımlarını zamlarla kompanse eden kuruluş,
Sonbahar,Akşam,bilisim 2002 fuarında ayardan ayara koşan kurum ya şimdi adsl de 128 kbit 44 milyonken 256 kbit neden 144 milyonıı bilmiyoruz pazarlama ile görüşün isterseniz ya şimdi adsl de 128 kbit 44 milyonken 256 kbit neden 144 milyonilla iki katı mı olması lazımanlamanızı beklemiyorum ama 1 litrelik kola 1 milyonken 2 litrelik kola 3 milyon olsa alır mısınız efendimisterseniz bi mail atın böyle böyle diyin cevap atarlar belkiben 4 kere yazdım böyle böyle dedim gelmedio zaman mektup yazın bakın bu posta adresimizhmmmm oooolldu iyi günler,
Sonbahar,Öğlen,muteri hizmetleri icin bkz 161,
Sonbahar,Öğlen,bkz türk telekomünikasyon aşkendi pazarında hakim durumda olan ttnete iltimaslı davranarak hakim durumunu kötüye kullanan kamusal hizmet veren bi şirket,
Sonbahar,Öğlen,telethe torture chamberkominsanlara eziyet etmek için devlet tarafından biçilmiş kaftansürekli olarak hizmette yetersizlik ve baştan savmanın başlıca örneğibkz turk telekom14,
Sonbahar,Öğlen,bkz türk telekom indirim kampanyası,
Sonbahar,Öğlen,babamın çalıştığı kutsal kurum,
Sonbahar,Sabah,büyüyen türkiyenin habercisi,
Sonbahar,Öğlen,bkz turk telekomu basma arzusu,
Kış,Öğlen,tüm lanetlerin varış adresi,
Kış,Akşam,2004 yilinda tekel olmaktan cikinca piyasaya girecek yabanci operatorler sayesinde en azindan yurtdisi gorusmelerinin fiyatini cok buyuk olcude dusurmek zorunda kalacak olan telefon operatorubkz calling cardbkz voice over ip,
Kış,Akşam,bkz tes,
