"complaint-layer","js-tooltip","js-view-count","complaint-description","ellipsis-text"
"Eti Gıda Eti Ürünlerinde Küf Ve Benzeri Bakteri Var","07 Ağustos 16:50","13","Aldığım Eti Burçak sütlü çikolatada beyaz kabarcıklar var. Bu küf ya da benzeri bir şey Eti gibi büyük bir firmanın nasıl incelemelerinden kaçabiliyor neden incelenmiyor. Vermiş olduğumuz ücret bir sorun değil ama bu ürünlerin incelenmesi ve Eti nin bu sorunla karşılaşan müşterilerine önem ve ilgili","..."
"Eti Gıda Küflü Süt Burger Tehlikesi","07 Ağustos 16:12","52","Kızımın aldığı süt burgerin küflenmiş olduğunu son anda gördüm. Bakmasaydım belki kızım yiyecekti. Bunun dikkate alınması lazım, birçok çocuğumuz yemiş olabilir. Arkadaşlar, içine bakmadan çocuklarınıza hiçbir şeyi yedirmeyin.",""
"Eti Gıda Eti Balık Kraker Kurt Çıktı","07 Ağustos 16:10","16","Adrasan a101den aldığım Eti balık tırtık krakerin içinden kurt çıktı ve kurt hala canlı bir şekilde hareket ediyordu. Bu nasıl olabilir anlayamıyorum. Yıllardır hep abur cubur olarak etiyi tercih ediyoruz ama bu olaydan sonra bir daha Eti alacağımızı düşünmüyorum.",""
"Eti Gıda Ürün İçerisinden Çıkan Yabancı Madde","07 Ağustos 02:51","27","06.08.2024 tarihinde Balıkesir Edremit bölgesinde bir marketten aldığım Eti Crax çubuk kraker içerisinden iki adet çuval ipliği çıktı. Hamurun iç kısımlarında Eti gibi bir markadan böyle bir hijyensizlik asla beklemezdim. Gerekenin yapılmasını bekliyoruz.",""
"Eti Gıda Hoşbeş Çilekli Küflenmiş","07 Ağustos 02:34","25","Eti hoşbeş çilekli gofret içinden siyah lekeli şekilde çıktı tarihi de henüz geçmemişti sanki küflenmiş gibiydi. Çıtırlığı da normal değildi yumuşamıştı son tüketim tarihi 09.03.2025 olan ürünün bu şekilde olmasına anlam veremedik bu durum bizi üzdü.",""
"Eti Gıda Tett Geçmiş Ürün Satışı","06 Ağustos 15:50","56","06/08/2024 tarihinde marketten almış almış olduğum Eti Antep fıstıklı çikolatayı yemek işin açtığımda ürünün tett 31/05/2024 olduğunu ve ürünün bayatlamış eskimiş olduğunu yedikten sonra fark ettim. Bu nasıl bir sorumsuzluktur, kontrolsüz satış sağlanmaktadır. Eğer çocuğum yemiş olsaydı bozuk çikola","..."
"Eti Gıda Ürün İadesini Talep Ediyorum","06 Ağustos 14:57","50","Marketten aldığım Eti Hoşbeş gofretin üzerinde beyaz beyaz beneklerden oluşan biraz beyazlama var, bozulmuş gibi. Hem ön kısmında hem arka kısmında oluşmakta. İlk defa böyle bir şeyle karşılaşıyorum ve yenilecek gibi olmadığı için çöpe attım. Geri iadesini istiyorum.",""
"Eti Gıda Nero Hatalı Bisküvi","06 Ağustos 13:46","24","Bursa Osmangazi Yunuseli TOKİ Seyhanlar Market'ten Eti Nero 3'lü aldık. Geçen sefer içinden sadece bisküvi ve kremasız tekli çıkmıştı. Şikayetimizi iletmemize rağmen sadece bildirdiğimiz için teşekkür edildi ama sorun devam ediyor. Yine aldım, yine sorunlu çıktı. Bu sefer bisküvi ters basılmış. Resi","..."
"Eti Gıda Eksik Ürün Ambalajlayıp Satıyor","06 Ağustos 12:45","21","A101 marketten Eti nero 3lü paket aldım. Görüldüğü üzere paketin biri hiç açılmadığı halde eksik ambalajlanmış. Biz ürün almak için para veriyoruz. Boş ambalaj yollayın diye değil değil mi Eti? Şikayetçiyim Eti firmasından. Her şeyin zaten gereğinden fazla pahalı olduğu bu devirde böyle bir saçmalık","..."
"Eti Gıda Aldığım Ürünün Az Olması","06 Ağustos 00:13","59","Eti den bir şikayetim var bugün bir Eti Crax aldım Eti ye lafım yok sevdiğim bir marka. Ama bu krakerin içinde 15 tane vardı. Aslında bu hep 50 tane oluyor bunda 15 tane vardı. Yani bu niye oldu bilmiyorum ama beğenmedim gereğinin yapılmasını istiyorum",""
"Eti Gıda Eti Cici Bebe Kırık Bisküvi","05 Ağustos 23:44","59","Bebeğimiz için almış olduğumuz Eti Cici Bebe paketinin içi tamamen kırık porsiyonlarını ayarlamakta zorluk çeliyoruz. Paket içerisinde olsa markette düştü parçalandı olarak düşünüceğiz fakat kutunun içerisinde olduğu için böyle parçalanmış olması çok zor",""
"Eti Gıda Eticin Portakallı Bisküviden Kurt Çıktı.","05 Ağustos 16:49","74","05.08.2024 tarihinde bir marketten Eti Cin portakal soslu bisküvi 325 gr aldım. İçinden kurt çıktı ve canlı bir kurttu. Başka tam anlam veremedim ama hareket etmeye başlayınca canlı olduğunu fark ettim. Eğer bu durumla ilgilenir ve yardımcı olursanız çok sevinirim.",""
"Eti Gıda Eti Karam Bitterin Bozuk Çıkması","05 Ağustos 16:13","71","Eti Karam bitter 32 gramlık ambalajdaki tekli paketlerden çıkan çikolatalar renkleri farklı ve bozuk çıktı. Son tüketim tarihi 03/02/2025. Marketten alalı daha 1 hafta olmadı. Eti kalitesine hiç yakışmadı. Gerekli incelemelerin yapılmasını isterim...",""
"Eti Gıda Saç Granolanın İçinde","05 Ağustos 15:39","56","Eti Lifalif granolanın içerisinde granolanın arasına sıkışmış bir şekilde saç çıktı. Her gün severek tükettiğim ve herkese önerdiğim bir üründe böyle bir durumla karşılaşmak gerçekten çok üzücü ve mide bulandırıcı. Çok büyük hayal kırıklığına uğradığımı da belirtmek isterim. Eti Lifalif granolanın i","..."
"Eti Gıda Yenmiş Bir Canga","05 Ağustos 15:30","67","Eti Canga White serisinin barkod numarası: 8690526208091 ve kod numarası 8387434 olan Eti canganın yarısı yenmiş ve yarısı bos bir şekilde çıktı. Buradan yetkililere duyurulur. Fotoğrafları koyacağım. Bir dahaki sefere dikkat edilmesi umuduyla yazıyorum",""
"Eti Gıda Eti Bozuk Ürün","05 Ağustos 13:40","85","Eti Cici Bebe markası olan bebe bisküvi aldım. 4 gün aradan geçmeden kutunun içinde kurtlar vardı. Ve bu ürünleri yetişkinler ve çocuklar da yiyor. Gereken ne varsa yapılmasını arz ederim çünkü en güvendiğimiz marka bu. Bunlara da güvenemeyeceksek ne yapalım.",""
"Eti Gıda İadesi Alınmıyor","05 Ağustos 01:44","71","Karabük de 2 şubeli marketi olan bir esnafım. Ürün iadelerim etik olmayan sebepler sunularak alınmıyor ve faturası kesilip gönderdiğim iadeler de tarafıma reddedilerek geri gönderildi. Bu durumdan çok mağdurum, gereğinin yapılmasını arz ederim.",""
"Eti Yulaf Böcekli","05 Ağustos 01:26","88","Eti Lifalif ince öğütülmüş yulaf aldım. Sabah kahvaltıda kaseye doldurdum ve böcekleri fark etmedim. İçine badem sütü eklediğimde onlarca siyah böcek yüzeye çıktı. Son kullanma tarihine daha 6 ay vardı. Bir daha güvenip alamam. Markaya olan güvenim zedelendi, midem bulandı.",""
"Eti Gıda Eti Karam Dan Plastik Çıktı","04 Ağustos 16:48","73","Eti Karam çilekli ve Antep fıstıklı çikolatanın içinden plastik parçası çıktı. Başta tırnak sandım, kendimi ikna etmek için çakmakla yaktığımda gördüm ki plastik parçasıymış. Eti markasından bugüne kadar böyle bir şey yaşamadık. İnşallah bundan sonra dikkatli olurlar.",""
"Eti Gıda Şok Marketten Aldığımız Eti Sultani Bisküvi Küflü Çıktı","04 Ağustos 15:14","80","Seyahate çıkmadan önce şok marketten su, içecek ve birkaç paket cerez ile birlikte Eti Sultani çikolatalı aldım. Çikolatası erimesin diye de arabaya biner binmez 32 kg soğuk termosuma koydum. Birkaç saat sonra yemek için paketi açtım. Birkaç tane yedikten sonra farkına vardık ki tüm paket küflenmiş.","..."
"Eti Gıda Eti Maximus Çikolata İçinden Çıkan Plastik","04 Ağustos 14:00","78","04.08.2024 KPSS sınavı öncesi yemek için aldığım Eti Maximus marka çikolatanın içinden plastik vb. bir şey çıktı. Görüntülerde görüldüğü gibi insan sağlığını tehdit eden bu çikolata markası hakkında gerekli yasal ve kişisel haklarımı arama hakkım saklı kalmak kaydıyla bu şikayeti yapıyorum.",""
"Eti Gıda Sütlü Çikolatalı Bisküvi Kalite Sorunu","04 Ağustos 13:53","196","Eşim 04.08.2024 Pazar günü A101'den aldığı Eti Burçak sütlü çikolatalı bisküvi bozuk çıktı. Çikolatasından birkaç tane yedim, bilmeden ağzımda değişik bir tat bıraktı. Midem bulandı, ayrıca bebek emziriyorum. Tarihi daha var, resmen bozuk mal satılıyor. Konunun yetkililerce ele alınması lazım, bozuk","..."
"Eti Gıda Eti Karam Bitter Çikolata İçinden Böcek Çıktı","04 Ağustos 13:52","82","Eti Karam bitter kare çikolata almıştık. Son kullanma tarihi 1 sene sonrası olmasına rağmen, paketi açar açmaz içinden kurt gibi bir böcek çıktı ve kağıdın kenarlarında kuma benzer bir şeyler vardı. Ne olduğunu anlayamadım. Midemiz bulandı. Yani nasıl böyle bir şey olabilir? Dolapta olmasına rağmen","..."
"","07 Ağustos 03:36","0","",""
"Eti Gıda Eti Cici Bebe Bisküvisinin Kuru Lezzetsiz Tatsız Olması","04 Ağustos 00:59","53","Şok marketten aldığım 1000 gramlık kutudaki Eti Cici Bebe bisküvisinin tadı daha önce aldıklarım gibi değil. Ben çayın yanında tüketmek için alıyorum. Bu seferki bisküviler lezzetsiz tatsız kuru yavan geldi. Bisküvilerini sürekli tükettiğim güvendiğim bir markadan böyle bir durumla karşılaşmak beni","..."
"Eti Gıda Eti Sütlü Çikolatalı Bisküvinin Çikolatası Yenmiş","03 Ağustos 21:36","111","Eti Burçak sütlü çikolatalı paketinin içindeki son bisküvi, çikolatası sanki daha önce yenmiş, dişlenmiş olarak çıktı. Başka bisküviye mi yapışmış diye diye düşündüm baktım ama değil. Bildiğimiz çikolatası yenmiş. Şoktayım. Nasıl olabilir. Böyle bir şey. Eti markasından böyle bir şey beklenemez ama","..."
"Eti Gıda Küflü Süt Burger","03 Ağustos 21:23","38","Aldığım Eti Süt Burger son kullanma tarihi geçmemesine rağmen küflü çıktı. Çocuklara yönelik bir ürün olması sebebiyle üretimindeki bu sorunun Eti gibi büyük bir firma tarafından görülmemesi gerçekten çok üzücü. İlk lokmadan sonra yeşillik ve tatta acılık şeklinde ortaya çıktı. Paketi kontrol ettiği","..."
"Eti Pizza Kraker İçinde Kıl Yumağı Çıktı","03 Ağustos 19:48","20","",""
"Eti İçi Dolu Çikolata Bozuk Çıktı!","03 Ağustos 19:05","21","",""
"Eti Gıda Çözüm Ve Geri Dönüş","03 Ağustos 13:58","53","Açtığımızda ürünün bir kısmı yoktu. Kızım, bunu ısırmışlar dedi. Ürünü yemedi. Ürünün incelenmesini rica ediyorum. Tarihini çektim, eminim firmanın izlenebilirlik politikası vardır. Petito sürekli tükettiğimiz bir ürün, pakette parçalanmış olsa bile parça paketten çıkmadı.",""
