"complaint-layer","complaint-layer href","username","js-tooltip","js-view-count","complaint-description","ellipsis-text","sv-model-button","sv-model-button href","large-view src"
"Turkcell Müşteri Temsilcisine Ulaşamıyorum","https://www.sikayetvar.com/superonline/turkcell-musteri-temsilcisine-ulasamiyorum-37","Sadiye","15 Haziran 14:38","20","Müşteri temsilcisine bağlanamıyorum. Operatöre bağlandıktan sonra 532 532 00 00 arayarak bağlanın diyor. Aynı numarayı aradığım halde. Acil destek rica ediyorum. Superonline ile ilgili bilgilendir rica ediyorum. Kapıya gelen Superonline tanıtım sorumlularının Turkcell den gelip gelmediğini teyit etm","...","","",""
"Superonline Cayma Hakkımı Faturamdan Düşmüyorlar","https://www.sikayetvar.com/superonline/superonline-cayma-hakkimi-faturamdan-dusmuyorlar","Mesut","15 Haziran 14:38","22","Müşteri numaram: 11838294 5 ay önce internet bağlattım. O zaman önceki internetimin cayma hakkı ödenecek faturadan düşülecek denildi ancak aylardır sürekli belirtmeme rağmen işlem yapmıyorlar. +905*******18 telefon numarasından hizmet aldım. Son faturamı gönderdim cayma hakkı düşülsün diye ama işle","...","#Cayma Bedeli","https://www.sikayetvar.com/superonline/cayma-bedeli",""
"Turkcell Superbox Kotasında Yanlış Bilgi Verilmesi","https://www.sikayetvar.com/superonline/turkcell-superbox-kotasinda-yanlis-bilgi-verilmesi","Nur","15 Haziran 14:16","22","Merhabalar. Geçtiniz aylarda Turkcell Superbox aboneliği yaptırdım. Hizmet aldığım şube Ankara iline özel bir kampanya olduğunu +50 GB hediyesini olduğunu söyledi. Bu nedenle bende 100 GB olan paketten aldım hediye ile birlikte 150 olacağını tek kişilik kullanım için yeterli olacağını ifade ettiler.","...","","",""
"Turkcell Superonline Paket Uyumsuzluğu","https://www.sikayetvar.com/superonline/turkcell-superonline-paket-uyumsuzlugu","Cem","15 Haziran 14:09","35","Merhaba, 200 Mbps internet paketim var, 100 Mbps bile kullanamıyorum. Müşteri hizmetleri sinyallerde bir problem göremediği için arıza kaydı oluşturamadığını belirtiyor. Altyapım 1000 Mbps'e kadar desteklemesine rağmen, ben ödemesini gerçekleştirdiğim hizmetin karşılığını alamıyorum. Sözleşmeyi yeni","...","#Arıza","https://www.sikayetvar.com/superonline/ariza",""
"Turkcell Superonline Evde İnternet 125 Metrekare De Çekmiyor","https://www.sikayetvar.com/superonline/turkcell-superonline-evde-internet-125-metrekare-de-cekmiyor","Eda","15 Haziran 14:08","18","30.05.2024 tarihinde evime Turkcell Superonline internet bağlattım. Evimin dubleks olduğunu ve evde çok fazla internet kullanmadığımızı ona göre gereken paket ne ise onu alalım dedim. Turkcell Superonline çalışanlarından K**** bey ile görüştüm Bu doğrultuda uygun paketi aldım. Evim 126 metre kare 3+","...","","","https://files.sikayetvar.com/complaint/2909/29091951/turkcell-superonline-evde-internet-125-metrekare-de-cekmiyor-2_768x768.jpg"
"Turkcell Superonline Tablet Kampanyası Pişmanlıktır","https://www.sikayetvar.com/superonline/turkcell-superonline-tablet-kampanyasi-pismanliktir","Ebrar","15 Haziran 13:14","28","Superonline tablet kampanyası tam bir pişmanlık. Tabletli kampanya deyip olayı büyütüyorlar. Verdikleri tablet aşırı kötü, fiil tarihinden kalma, sürekli kasan telefon büyüklüğünde bir şey. Turkcell gibi bir firmaya yakışmayan bir tablet. Bu tableti ne yapayım şimdi ben, Allah aşkına?","","","","https://files.sikayetvar.com/complaint/2909/29091405/turkcell-superonline-tablet-kampanyasi-pismanliktir-1_768x768.jpg"
"Superonline İnternet Kesinti Ve İlgilenmemesi","https://www.sikayetvar.com/superonline/superonline-internet-kesinti-ve-ilgilenmemesi","Çağlar","15 Haziran 12:29","57","2 gündür evde internetim yoktu. Superonline'ı aradım, bana 48 saat içinde sorunla ilgili bilgi verileceği söylendi. 48 saat sonra bana verilen bilgi, altyapı çalışması olduğu ve bu çalışmanın 26.06.2024'e kadar süreceği bilgisiydi. Bu çalışma nasılsa alt katımda ve yan komşumda internet var ama beni","...","#İnternet Kesintisi","https://www.sikayetvar.com/superonline/internet-kesintisi",""
"Turkcell Superonline'dan Beklenmedik İlgisizlik!","https://www.sikayetvar.com/superonline/turkcell-superonlinedan-beklenmedik-ilgisizlik","Fatih","15 Haziran 12:06","67","Turkcell Superonline ev interneti başvurusunda bulundum. Sizin evde bulunmanız veya kimliğinizin evde olması gerektiğini söylediler. Kimliğimi eve bıraktım, eşim evdeydi. Fiber altyapıyı çektiler ancak e-Devlet'ten imza olayının gerçekleşmemesinden dolayı modemi kurmadan gittiler. Sizi arayacaklar d","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Superonline Online Oyun Bağlantı Problemi","https://www.sikayetvar.com/superonline/superonline-online-oyun-baglanti-problemi","Emrah","15 Haziran 11:58","53","Yeni bir eve taşındım ve altyapı desteği olduğu için Superonline internetimi nakil ettirdim. Lakin hattımda garip bir problem var. Xbox oyun konsolumda futbol oyunumda hem maç odası kuramıyorum hem de rakip aramada herhangi bir rakiple eşleşemiyorum. Bu durum nakilden önce yoktu. Ayrıca oyun konsolu","...","#Nakil","https://www.sikayetvar.com/superonline/nakil","https://files.sikayetvar.com/complaint/2909/29090575/superonline-online-oyun-baglanti-problemi-1_768x768.jpg"
"Superonline İle İnternetsiz Yaşam","https://www.sikayetvar.com/superonline/superonline-ile-internetsiz-yasam-1","Murat","15 Haziran 11:43","84","Abonesi olduğum Superonline Fiber internet bağlantım 02.06 tarihinde kesildi. Aynı gün firma müşteri hizmetlerini arayarak durumu bildirdim, 24 saat içinde müdahale edileceğini söylediler. Fakat gelen olmadı, ertesi gün tekrar durumu müşteri hizmetlerine bildirdim bu sefer Altyapı hizmetlerine yönle","...","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
