Season,Time,Content,Sentiment
Kış,Sabah,sabancı grubuna ait elektronik ve ev eşyası satan mağazalar zinciri,
İlkbahar,Gece,hazır pc dururken bilgisayar almak için yanına yaklaşılmaması gereken mağazalar zinciri,
Yaz,Gece,sony f717 yi 2740000000 tl ye satan yer kolay gelsin diyoruz kendilerine,
Sonbahar,Akşam,ne kadar laptop begensem hepsinin stogunu yapmi piyasada mal birakmami diledigi gibi liste fiyatindan satan bir nevi karaborsacidir gozumde ayiptir gunahtir agalar bir mal distributorunun dahi elinde yokken bunlarin elinde nasil olur cok mu ongoru sahibi vizyon sahibi yoneticileri var merak etmedim degil,
Sonbahar,Öğlen, adresinden de ulaşabilirsiniz,
Sonbahar,Öğlen,en buyuk avantaji aliveri merkezi durumundan tatil gunleri acik olmasi olan bilgisayar ivir zivir magazasi,
İlkbahar,Öğlen,profilodaki şubesinde şu diyaloğu yaşadım çalışan kalitesini gözler önüne serer sanıyorum şu dvdyi deneyebilir miyiz bir sorunu yoksa alıcam  deneme imkanımız yok malesef neden yok denemeden almam ben bir saniyepeki tamamdeneyelim bir şeyleri elde etmek için illa kasmak gerekir ya şu ülkede ne desek boş,
Sonbahar,Öğlen,annemin kredi kartı kimliği ve dahi benim kimliğim olmasına rağmen kart sahibi fiziksel olarak burada olmadan işleminizi yapamam dedikleri için bir daha oradan alışveriş yapmayacağım yer akabinde nitekim de karşısındaki escortlandden alacağımı almışımdır escortland torbasıyla teknosanın içine şöyle bir girip çıkmakla tatlı bir haz duymuşumdur huzura ermişimdir olay mahali profilo teknosadır,
Sonbahar,Öğlen,bkz escortland,
Kış,Gece,yoneticilerini sharper imagea staja gondermesi gereken teknolojik zincir bu kadar gaflet ve dalalet icersinde calisanlari barindirip hala nasil bu kadar satis yapiyorlar aiyorum,
Kış,Gece,musteri memnuniyeti denen mefhumun ne kadar onemli oldugunu bir gun anlamalarini umdugum nasil ayakta kalabildiklerine sasirdigim magazalar butunu ornegin metrocitydeki subesi 400 ytl civarinda bir meblagi kendi hatalari sonucu kredi kartimdan iki kere cekmislerdir ve olayin ustunden iki ay gibi bir sure gecmesine onlarca telefon gorusmesine ve defalarca bizzat gidip kendileriyle gorusmeme ragmen olayi sonuclandiramamislar resmen bu paranin ustune yatmislardir teknosa buyuklugundeki bir sirketin hatali ben olsam dahi ki benim zerre kadar hatam yok teknosa ve bir baska enteresan olusum olan citibank hatayi paylasiyorlar bu parayi aninda iade edebilmesi ve beni memnun edebilmesi gerekirdi ki en buyuk zevki elektronik alet satin almak olan son uc ay icinde teknosadan 3 milyarlik alisveris yapmis ve cevresi de kendine benzer insanlardan olusan sahsim bir daha magazalarindan birine adimini atabilsin dolayisiyla bundan sonra buraya hayatta gitmem gidene de mani olurum,
Sonbahar,Öğlen,ürünlerini diğer mağazalardan en az 10 daha pahalıya satan mağaza yerseniz,
Sonbahar,Öğlen,almaya karar verdiğiniz ürünü daha önceden farklı mağazalar ve internette en ince ayrıntısına kadar araştırıp mağazaya girdiğinizde sadece satın alma eylemini yapmanız gereken işletme zira çalışanların ürünlerle ilgili zerre kadar bilgisi yok babaannemi standların başına koysam daha yetersiz bilgi veremez sanırım,
Sonbahar,Sabah,web sitesindeki arama butonu firefox ile çalışmayan teknolojiden habersiz şirket,
Sonbahar,Sabah,web sitelerinde vaktiyle siemens mc60da mp3 çalar ve radyo gibi özelliklerin var olduğunu yazacak kadar geri zekalı bir şirkettir sanırım veri tabanlarında bu alanların ön tanımlı değeri var boş bırakınca var yazıyor e tabi olan benim gibi cep telefonundan anlamaz birisine oluyor,
