Season,Time,Content,Sentiment
İlkbahar,Akşam,superonlineın 4 mayıs itibarı ile aktive olacak yeni ismi,
İlkbahar,Öğlen,saçmalama vakaası olmuş bir proje superonline güzel bir isimdi ki tanınırlığı vardı turkcelli getirip uzatmanın ne amacı var yani 1 gbit internet getirmişler her yerde reklamı var ama aylık ücreti yazmıyor hiç bi yerde onuda ben yazayım 999 tlay,
İlkbahar,Öğlen,100 mb kadar 1gbit 100 mb dan sonra edge hizi idareli kullanin,
İlkbahar,Gece,bkz ışık hızında internet,
İlkbahar,Sabah,1 gbit seceneginde 4 tb adil kullanim siniri olacakmis hay ben bu adil kullanimi icad eden lavugu bir bulursam,
İlkbahar,Gece,ttnet gibi annesi avradı konulu yorumları ağzımızdan eksik olmayan bir firmayla kıyaslanamıyacak düzeyde bir firma onu kabul ediyorum özellikle bakım çalışmaları bitince sms ile haber vermek falan apayrı birşey ama açıkcası ilk geçişte cazip gelsede 10 mbit down1 mbit up o kadar da iyi bir tarife değilen azından upload hızını 5 mbit yapmak gerek ki birşeye benzesin yada en düşük paketi 205 e çekip fiyatı ona göre ayarlasınlar hazır üye sayısıda artıyorken turkcell yapsın bu kıyağı bizlereedit valla başka birşey istesem olucakmış 24 ay taahhüt veren abonelere 20 mbit internet 49 tl imiş üstüne isteyene vınn kampanyası falanda var muhteşemsin superonline başka laf söylemiyorumbu arada adil kullanım falan inanmayın bunlara 350400 gb civarı down yapıyorum herhangi bir sorunla karşılaşmadımeğer abartmazsanız yani 10 mb 20 mb hız ile tblere çıkmazsanız birşey olmaz ki insan olan yapamaz bunu yani yapana da sınır getirmek lazım,
İlkbahar,Sabah,999 tllik 1000 megabit paketiyle göz doldurandır999 tl diyorum bak üç tane 9 var orada,
İlkbahar,Sabah,adil kullanım sınırı olduğu sürece bir sike yaramayacak internet paketidir hayır millete bunu küçücük puntolu gizli saklı yazılarla yutturmaya çalışıyorsun bari bir filmi şu kadar zamanda indirirsin diye reklam yapma,
İlkbahar,Öğlen,ortada böyle bir ttnet tekeli ve muazzam bir pazar var şirket bu kadar yatırım yaparken aynı zamanda internet fiyatlarını ttnetin onlarca kat altına satması pek mantıklı gelmiyor milletin turkcellden yediği kazıklar malumken ben çok şüpheliyim halen bu me karamehmet girişimine yeni bir tekel oluşturulup ttnet yerine yeni sömürücümüz turkcell superonline olabilir mi gerçi adında turkcell olan bir şeyin kazıkçı olmama ihtimali yok amabu arada onlara bir öneri afyonkarahisar büyük bir altyapı çalışması içine girdi elektrik direkleri yer altına geçiriliyor sokaklar kazılıyor taş döşeniyor kanalizasyon boruları değiştiriliyor filan bence bu çalışmalar sırasında araya fiberoptik kablo döşemesi yapılabilir afyonkarahisar pastasını öyle yabana atmamak gerek,
İlkbahar,Gece,sitelerinden alıntıdır 100 tl• yapacağınız her 1 gblık kota aşımı için sizden söke söke 10 tl alırız bkz bu ülkede tek alternatif siktirip gitmektir,
İlkbahar,Gece,an itibariyle tam bir haftadır kendilerinden aldığım eposta servisinde yaşadığım sorunu çözememekte ve bana da bir türlü tatmin edici bir cevap verememekte olan muhteşem kurumdur süreç şöyle gelişti ekşi sözlük ve facebooka bu konuda mesajlar yazıp bunu superonlinea gönderdikten sonra sorun 9 gününü doldurup 10 gününe girdiğinde nihayet çözüldü yine de gün içinde yine bir kez şifre göndermeye çalışıp bir kez daha beceremediler geçen 9 günün 5inde o adrese gelen mesajlarım uçtu gitti ama neyse yine de sinirim geçti en azından,
İlkbahar,Akşam,20 mbps hızlı internete giriş paketi aylık 999 tl kotası 1 gb alın çok memnun kalacaksınız20 mbps yaklaşık saniyede 25 megabyte dosya indirmek demek yani 1 gb kotayı 409 saniyede indirebilirsiniz yani yaklaşık 7 dakikada 1 ay 43200 dakika ediyor geri kalan 43193 dakikada da bilgisayarınızda offline olarak ne isterseniz onu yaparsınızedit 20 mbps 2 megabyte değil 25 megabyte yapıyormuş ilgili hesapları düzelttim,
İlkbahar,Akşam,20mbit bağlantı için şöyle bir sonuç bkz  elde ettiğim iss iyi gibi,
