Season,Time,Content,Sentiment
yaz,sabah,rekabet kurulunun 7 trilyon tl cezaya çarptırdığı şirket,
yaz,sabah,bizbize uygulamasi baslattilar faturalar daha agir gelmeye basladi neden acaba,
yaz,sabah,her ayin belli donemlerinde bana sms aracılıgı ile tehdit mesajlari gonderen kurumbir odenmemi faturanız var acilen odeyiniz kötünüzü keseriz  tarzı bişeyler diyorlar ama borcunada sadık bir bireyizöyle artisliğin lüzumu yok dimi cell ocum,
sonbahar,sabah,tekelin dayanilmaz hafuflugu,
sonbahar,sabah,bkz gprsland,
kış,akşam,bkz load cellbkz free cellbkz gizlicellbkz webmesajcellbkz yarrakcell,
kış,akşam,garip ve antenli bir canavar tarafından simgelenen bu cell 11 milyon kullanıcısı olduğu yalanını her dafasında üzerine basa basa söyleyen bir ne olduğu bilinmiyor,
kış,sabah,abuk subuk kuralları olan bir şirket bu kuralları bize eziyet etmek için koymuşlar sanki müşteri hizmetlerinde çalışanlara da çok acıyorum sadece kendilerine öğretilenleri tekrarlayıp duruyorlar,
kış,öğlen,telsimle kıyaslandığında çok daha iyi olan operatör,
kış,öğlen,her fatura gelisinde eve babamla bi ayda yaptiklari ciroyu hesapladıgımız babamin olm bizde mahalleye boyle bi sebeke mi acsak acaba dedigi kazandiklari parayi benim ifade edemedigim oha denilesi mayyak adamlarin para kazanmak icin binbir xcell ureten gsm sirketi,
sonbahar,sabah,üşenmeden tam 7 kere baldudaklım spam sms istemiyorum  gondermeyin dememe ve her defasında kusura bakmayın bi daha gondermicez demelerine rağmen benim iyiliğimi düşünüp hepsi birbirinden faideli servislerini bana tanıtmaya devam eden azimli şirket,
kış,öğlen,gün itibarı ile görüşme ücretlerine 2 zam yapmış olan şirkettirabone mi şu tarafa gitti devam et devam,
kış,öğlen,ısrarla 2222ye sifre yazıp göndermeme rağmen ısrarla sifre falan göndermeyen gsm ebeği,
kış,gece,yılbaşı gecesi çöken faşo aga şirket lakin bir yeri aramak bir yana yolladığınız mesajlar bile 3 saatte yerine ulaştı böyle hizmete gömmek farzdır,
kış,gece,bkz cincell,
kış,gece,en çok ihtiyaç duyulan anlarda hic bir işe yaramyan gsm şirketideprem terör ve olimpiyat ya da saracoğlu statlarında maç sırasında hiç bir zaman hattı çekmeyen kullanıcıya çektiren zihniyet,
kış,öğlen,en cok ihtiyac duyulan ani vakalarda bi nebze de olsa eh onlem almalari zordu bilmedikleri icin onceden dedigim firmaydi ancak dun aksam butun nisantasi ve taksimde yilbasi saatlerinde alinan ebeke yok mesajini gordukten sonra tum sempatimi kaybetmis firmabkz mna godmn,
kış,öğlen,yurt dışı görüşmelere bindirdikçe bindiren hiç doymayan bu da benden zihniyetiyle bindiren örneğin spam smslerden ücret yazması bir de bana teşekkür eden bkz turkcell onuncu yılında sizlere teşekkür ediyor firma,
kış,öğlen,kasikla verip kepceyle alan kurulus musteriyi kaziklamakta ustlerine yok turkiyede her sektorde bir tek oldugu gibi cep telefonu ebekesi sektorunde de bir tek varsa o da ne yazikki turkcell,
kış,gece,iranlılar hedeflerini tutturabilirlerse 27 milyon yeni abonesi olacak kurum  koca bulamayıp umudu shubuo flört pakedinde arayan genç kızlarımız bu paketle zengin iran şeyhlerine 3 4 olabilirler faydalı bir ortaklık,
sonbahar,sabah,bkz emailcell,
sonbahar,akşam,bkz turkcell roaming team,
sonbahar,sabah,artık istanbul metrosunda bile şeken telefon şebekemiz,
kış,gece,sebeke ici aramalarin bile hayvani pahali olmasindan dolayi turkcellturkcell  229000 ariaturkcell  120000 hepten tiksindigim ve dun itibariyle biraktigim gsm operatoru,
kış,akşam,gün ve saat itibarı ile 21212231602 adet kısa mesajın iletilmesine aracı olmuş gsm operatörüdür,
kış,gece,bu aya ait faturamı son ödeme günü olan bugün iş dönüşü posta kutumda bulmam üzerine homurdanmama neden olmuş operatör şirketi fatura gelmedi nasıl olsa diye rahat rahat dolanaydı gecikme faizi ödemek durumunda kalacaktı bu satırların yazarı tabii bu posta hizmetlerinin bayram sebebiyle göçmesinden de kaynaklanıyor olabilir ancak insanın aklına bunun altında faturaları geç yollayalım da milleti bi de gecikme faizi ile söğüşleyelim mantığının yatıyor olabileceği de gelmiyor değil zarfın üzerinde postaya verilme tarihi yazmadığından kelli gerçek suçlu bilinememektedir,
kış,gece,999999999999 nolu kısa mesajdan sonra mesaj idlerine 000000000000dan başlayacak olan gsm operatörüdür,
