"complaint-layer","complaint-layer href","username","js-tooltip","js-view-count","complaint-description","sv-model-button","sv-model-button href","ellipsis-text","large-view src","large-view src 2"
"TurkNet Müşteri Hizmetlerine Ve Hesabıma Ulaşamıyorum","https://www.sikayetvar.com/turknet/turknet-musteri-hizmetlerine-ve-hesabima-ulasamiyorum","Hüseyin","15 Haziran 14:01","43","TurkNet müşteri hizmetlerine ulaşamıyorum. Hesabım TurkNet uygulamasında da görünmediği için hiçbir işlem gerçekleştiremiyorum. Uygulama üzerinden hiçbir işlem yapamadığım için ne fatura ödemesi ne de paket yenileme işlemi gerçekleştiremiyorum. En kısa sürede tarafıma dönüş yapmanızı ümit ediyorum","#Fatura","https://www.sikayetvar.com/turknet/fatura","","",""
"TurkNet İnternet Yanıltıcı İndirim Kampanyası","https://www.sikayetvar.com/turknet/turknet-internet-yaniltici-indirim-kampanyasi","Serdar","15 Haziran 13:38","37","Merhaba, ben Yıldız A******* (Serdar A*******'ın eşi). TurkNet (3866074) abone numaralı internet ile ilgili aboneliğimizde yaşanan indirim sorunu ile ilgili şikayetimizdir. İki aydır faturanız 300 TL olacak denip, iki aydır 450 TL tarafımıza fatura gönderilmesi ve bunu bize ödettirmeleri, her ne kad","#Fatura","https://www.sikayetvar.com/turknet/fatura","...","https://files.sikayetvar.com/complaint/2909/29091614/turknet-internet-yaniltici-indirim-kampanyasi-2_350x350.jpg","https://files.sikayetvar.com/complaint/2909/29091614/turknet-internet-yaniltici-indirim-kampanyasi-1_350x350.jpg"
"TurkNet Haberim Olmadan Abonelik Başlatmış","https://www.sikayetvar.com/turknet/turknet-haberim-olmadan-abonelik-baslatmis","Sezer","15 Haziran 13:14","27","TurkNet aboneliğim iptal etmeye çalıştım ve 30.05.2023 böyle bir aboneliğimin olmadığını gördüm. Fakat 30.06.2023 de hiçbir onayım olmadan abonelik başlangıcı yapıldığını ve benden 400 TL borcum olduğunu öğrendim. Hiçbir şekilde benimle iletişime geçilmeden böyle bir şey nasıl yapıyorsunuz. Bu sorun","#Abonelik","https://www.sikayetvar.com/turknet/abonelik","...","",""
"TurkNet İnternet Bağlatmada Sorun Yaşıyorum.","https://www.sikayetvar.com/turknet/turknet-internet-baglatmada-sorun-yasiyorum","Ebru","15 Haziran 12:28","49","Pazartesi günü yaptığım abonelikte 2 gün içerisinde aranıp ekiplerin geleceği söylendi günlerdir oyaladılar, bir de üstelik şimdi arama talebi oluşturuyorum geri dönmüyorlar. Binadaki internetin kontrolüne geldiklerinde de babam sorunda ekipler terslemişler. Böyle bir iletişimsizlik olamaz, daha kul","#Abonelik","https://www.sikayetvar.com/turknet/abonelik","...","",""
"TurkNet Kurulum Ekibi Sorunu","https://www.sikayetvar.com/turknet/turknet-kurulum-ekibi-sorunu-5","Serhan","15 Haziran 12:14","85","TurkNet Giga 1000 için kuruluma gelen ekip, sitenin yönetiminden izin alma fırsatı vermeden kurulum yapmadan gittiler. Zaten telefonda kurulum için hiç istekli olmadıkları seslerinden belliydi. 'Adresinizde misiniz?' diye sordular, 'Adresteyiz' deyince isteksiz bir şekilde 'Bir bakalım o zaman' dedi","#Gigafiber","https://www.sikayetvar.com/turknet/gigafiber","...","",""
"TurkNet Fatura Yansıtma Ve Müşteri Hizmetlerine Bağlanamama","https://www.sikayetvar.com/turknet/turknet-fatura-yansitma-ve-musteri-hizmetlerine-baglanamama","Hakan","15 Haziran 11:52","75","İki gün önce internetim açılmasına rağmen yeni üyelik anında fatura yansıttılar. Müşteri hizmetlerine asla bağlanılmıyor, öyle bir seçenek dahi yok. CİMER'e şikayet edeceğim, bu kadar kötü bir firma olamaz. Sadece satmaya yönelik bir firma, asla arkasında duran bir firma değil. Dediğim gibi, CİMER'e","#Online İşlemler","https://www.sikayetvar.com/turknet/online-islemler","...","",""
"TurkNet İ Şikayet Edeceğim","https://www.sikayetvar.com/turknet/turknet-i-sikayet-edecegim","Ceren","15 Haziran 10:44","113","Birkaç hafta önce 400 TL'ye TurkNet'e geçtik. Daha faturamız gelmeden arayıp altyapınıza fiber geldi, paketiniz 520 TL civarı olacak dediler. Oysaki abonelik açarken 12 ay sabit fiyat garantisi yazıyor. Yeni altyapıyı ben istemeden zorunlu tutulamaz! Ben bütçeme göre 1 yıllık kayıt olmuşum. Sizin al","#Abonelik","https://www.sikayetvar.com/turknet/abonelik","...","https://files.sikayetvar.com/complaint/2908/29089797/turknet-i-sikayet-edecegim-2_350x350.jpg","https://files.sikayetvar.com/complaint/2908/29089797/turknet-i-sikayet-edecegim-1_350x350.jpg"
"TurkNet Geç Kurulum Şikayet","https://www.sikayetvar.com/turknet/turknet-gec-kurulum-sikayet","Hatice","15 Haziran 10:22","93","Başvuru yaptım 2-6 iş günü dediler 5 iş günü bitti 6. İş günü bayramdan sonraya kalıyor. Özellikle rica ettim. Bayramdan sonraya kalmasın diye ama asla ilgilenmiyorlar şaka gibi. Başka firmalar gelip 2 günde kurulumu sağlıyorlar. İlgileniyorlar. Bunlar daha iletişim kurmaktan imtina ediyorlar","#Evde İnternet","https://www.sikayetvar.com/turknet/evde-internet","","https://files.sikayetvar.com/complaint/2908/29089635/turknet-gec-kurulum-sikayet-2_350x350.jpg","https://files.sikayetvar.com/complaint/2908/29089635/turknet-gec-kurulum-sikayet-1_350x350.jpg"
"TurkNet İnternet Sorunu Mağdur Ediliyorum","https://www.sikayetvar.com/turknet/turknet-internet-sorunu-magdur-ediliyorum","Sevda","15 Haziran 10:10","109","TurkNet internetim dün sabahtan beri çözülemedi. Çözülemediğine inanmıyorum, resmen 3 ay boyunca kurulum ücreti olarak toplamda 600 TL ücret aldılar. 3 aydır bütün sorunlar anında çözülüyordu, şimdi işi yokuşa sürmeye başladılar. Dağ başında yaşamıyoruz, sanki İstanbul'un göbeğinde dünden beri inter","#İnternet Kesintisi","https://www.sikayetvar.com/turknet/internet-kesintisi","...","https://files.sikayetvar.com/complaint/2908/29089553/turknet-internet-sorunu-magdur-ediliyorum-1_768x768.jpg",""
"TurkNet İnternet Işık Sorunu","https://www.sikayetvar.com/turknet/turknet-internet-isik-sorunu","Mert","15 Haziran 03:49","142","İstanbul Tuzla'da hemen hemen her akşam internetimiz kesiliyor ve bu ne kadar sürecek hiçbir fikrim yok. Müşteri hizmetlerine bağlanamıyorum. Sürekli kesiliyor. Umarım sorunu çözebilirsiniz. 0544*****15 06 numaradan ulaşabilirsiniz. Çözmeyi düşünürseniz teşekkürler.","#Arıza","https://www.sikayetvar.com/turknet/ariza","","",""
