"complaint-layer","js-tooltip","js-view-count","complaint-description","ellipsis-text","sv-model-button"
"TTNET Arıza İçin Arıza Kaydı Açmıyor","07 Ağustos 22:18","19","TTNET'te internet arızası olduğu için müşteri hizmetleri arıza kaydı açmıyor. Deprem sonrası bölgesel deyip bir türlü kayıt almıyorlar. Ben internet kullanıyordum, sadece evimdeki hatta elektrik kesintisi sonrası kopma oldu ve sorun nerede bilmiyorum. TTNET kocaman bir şirket, bir teknik arıza kaydı","...","#İnternet"
"Türk Telekom Wi-Fi Yetersizliğine Çözüm Bulamıyoruz.","07 Ağustos 22:18","14","Dubleks evde yaşayan birisi olarak Türk Telekom ADSL kullanıyorum ve aylardır evimin üst katında Wi-Fi çekmiyor. Sinyal dağıtıcı önerildi onu aldım yine çözüm olmadı. Çağrı merkezini arıyorum modemi kapat aç gibi ilkel çözümler sunuluyor. Ne yapacağımı şaşırdım.","","#İnternet"
"Türk Telekom İnternet Hız Problemi","07 Ağustos 22:18","8","Üst kat komşum yaklaşık 1.5 hafta önce yeni bir internet bağlantısı yaptırdı. O tarihten itibaren internet hızımda ciddi problemler yaşamaya başladım. Önceden sorunsuz kullandığım internet hizmetimde şu an sürekli hız düşüşleri yaşıyorum. Bu durumun komşumun yeni internet bağlantısı ile ilişkili ola","...","#İnternet"
"Türk Telekom Şebeke Ve Mobil İnternet Sorunu","07 Ağustos 22:17","9","Bulunduğum noktada ne telefon çekiyor ne internet. Müşteri hizmetlerine bildirdiğim halde arıza var diyorlar ama yalan; arıza olsa çözerdiniz. Tahminim altyapı eksikliği nedeniyle evimin olduğu yere şebekeyi zayıf veriyorlar. Bulunduğum yerde diğer tüm operatörler dört dörtlük çekiyor, ama Türk Tele","...","#İnternet"
"Türk Telekom Ek Paket İptal Sorunu Ve Müşteri Hizmetleri Deneyimi","07 Ağustos 22:11","25","Türk Telekom hattımda internetim o ay içinde yeterli gelmediği için ek internet paketi almıştım. Ay sonunda bugün uygulama içerisinde yenilenme tarihi yazısını gördüğümde bir dahaki ay da ek paketi ihtiyacım olmayacağı için iptali için uğraştım fakat 3 tane ek paket almıştım ve eski iptal mesajları","...","#Faturalı Paketler"
"Türk Telekom 3 4 Haftadır İnternetim 3 Dakika Bir Gidiyor...","07 Ağustos 22:03","35","Merhabalar, iyi akşamlar. Muğla Datça'da yaşıyorum. Türk Telekom ile internet bağlattım, nereden baksanız 1 ay kadar oldu. Modem bağlandı, internetin gidip geldiğini fark ettim. 16 Mbps hız denildi, 4.6 falan çıkıyor. Hız sonradan aradım, bilgi verdim. Arıza kaydı oluşturduk falan, sonra bu muhabbet","...","#İnternet"
"Türk Telekom 4.5G Ücretsiz Hat Değişim Sorunu","07 Ağustos 22:02","13","Merhaba, Ankara Çankaya Necatibey'deki Öz Anadolu İletişim bayisinde 3G hattımı 4.5G hatta değiştirmelerini istedim. İlk önce 100 TL istediler. Türk Telekom genel müdürlüklerinde ise bu işlemin 15 TL civarında bir ücreti olduğunu söylediler. Ücretsiz olduğunu belirttiğimizde ise ""hat yok"" diyerek bi","...",""
"Türk Telekom Taahhüt Yenileme Mağduriyeti","07 Ağustos 21:56","53","Yaklaşık 2 senedir Türk Telekom evde internet abonesiyim. 20/09/2024'te taahhüdüm biteceği için aramaya başladılar. Görüşmemizde henüz iki ay sonra biteceğini, bu yüzden şu an onayladığım takdirde mevcut taahhüt süremde eski paketimin devam edip son ayda kullandığım süre üzerinden kısmi faturalandır","...","#İnternet"
"Türk Telekom GSM İnternet Bağlantı Sorunu","07 Ağustos 21:55","39","Türk Telekom telefon hattı kullanıyorum hem de uzun yıllardır. Lüleburgaz'da oturuyorum bu yıl internet aşırı kötü, bağlanmıyor, kesiliyor. Eşimle yurt dışından internetle konuşuyoruz. Burnumuzdan geldi. Aşırı kötü internet, bağlanmıyor. Önceki yıllar iyiydi ne değişti Lüleburgaz'da da internet bu k","...","#İnternet"
"Türk Telekom Ve TV Bu Mağdurları","07 Ağustos 21:49","47","Türk Telekom'dan kampanya var diye TV aldık. Memnun kalmadık, kalan ayları da ödemeyi kabul ederek cihazı teslim ettik ve teslim ettikten sonra formu mail olarak Türk Telekom'a gönderdik. Cihaz masrafını düşeceklerini ve sonradan ödeme yapmamızı söylediler. Defalarca müşteri hizmetleriyle görüşmeme","...","#Bana Özel Paketler"
"Türk Telekom İnternet Taahhüt Yenilemede Fahiş Fiyatlar","07 Ağustos 21:48","56","Türk Telekom internet taahhüt yenilemede çok fazla fiyat çıkarıyor. Mevcut fatura neredeyse 3 katı ile yenilemek istiyor. Kampanya adında saçma, ilk ay düşük sonraları yüksek fiyatlarla mevcut tarifeden devam neden edilmiyor. Zamanı gelmeden sürekli arayıp rahatsız etmeleri de cabası.","","#İnternet"
"Türk Telekom'un Müşterilerinin Mağduriyeti Ve Çözüm Üretmekten Uzak","07 Ağustos 21:48","49","Yaklaşık iki aydır Adıyaman'ın Tut ilçesinde bulunduğumuz binada sürekli internetle ilgili sorun yaşıyoruz. Yaklaşık 12 daireli apartmanda 6-7 daire Türk Telekom internet kullanıyor ancak sürekli kopma ve internetin gelmemesi gibi sorunlardan dolayı şikayet oluşturduk. Ancak ekipler geldiğinde herha","...","#İnternet"
"Türk Telekom Muğla Dalaman 7 Yıldır İnternet Altyapısının Sağlanmaması","07 Ağustos 21:41","53","Merhaba, Muğla Dalaman'da 2017 yılından beri ikamet etmekteyim. Bulunduğum mahalle olan Ege Mahallesi gayet merkezi olmakla beraber çevremizde camii, 5 yıldızlı otel, okul, süpermarket ve çok sayıda apartman/villa bulunmaktadır. 2017'den beri birkaç aylık aralıklarla defalarca Ortaca Türk Telekom Ba","...","#İnternet"
"Türk Telekom Mobil Tarifedeki Tutarsızlık.","07 Ağustos 21:41","38","Aylık 30 GB İnternet paketi adı altında bir ürününüz var. Bu ürünü 03.08.2024 tarihinde talep ettim ve aynı tarihte hattıma tanımlandı. Ancak on-Line işlem merkezinde ürünün, iptal etmezsem 27.08.2024 tarihinde güncelleneceği yazıyor. Adı ""Aylık 30 GB İnternet paketi"" olan ürün nasıl oluyor da 25 gü","...","#Bana Özel Paketler"
