"complaint-layer","js-tooltip","js-view-count","complaint-description","ellipsis-text"
"Ülker Çubuk Krakerden Kıl Çıktı","07 Ağustos 16:21","17","Ülker çubuk kraker aldım pişman oldum! En güvenilir markalardan olan ülkerden almış olduğum krakerin içerinde kıl çıktı. Güvenilir marka olduğu için çocuğumuza gözümüz kapalı olarak verdiğimiz markanın yiyeceklerini, bu durumda bu saatten sonra güvenim tamamen bitti. Üretim aşamasında nasıl oluyor","..."
"Ülker Hanımeller Frambuaz Soslu Kurabiye Şekerlenmiş","07 Ağustos 15:00","14","",""
"Ülker Aşırı Tuzlu Taç Kraker","07 Ağustos 11:55","28","Yıllardır severek yediğimiz Taç Kraker bu sefer inanılmaz tuzluydu, yiyemedik. Olduğu gibi 3'lü paket çöpe gitti. Hayatımda bu kadar tuzlu kraker görmedim. Anlamadığım şey, 3-5 tane üzerinde olması gereken tuz nasıl oluyor da avuç avuç üzerine dökülmüş, anlam veremedim. Üstelik 2-3 kraker de değil,","..."
"Ülker Çikolatalı Küflü Çıktı","07 Ağustos 11:55","11","",""
"Ülker Bozulmuş - Sorunlu Ürün","07 Ağustos 04:36","14","Merhabalar, mahallemin marketinden temin ettiğim Dido çikolatanın tarihi geçmemesine ve daha yeni paketini açmama rağmen çikolatanın bozulmuş ve renginin acayip solduğunu, üstüne kokusunun iç açıcı olmadığını fark ettim. Dikkatli davranmayıp çikolatayı olduğu gibi yeseydim kötü olurdum çünkü bağışık","..."
"Ülker Yediğimde Şiddetli Karın Ağrısı Çektim","07 Ağustos 01:21","16","Ülker'den 5 tane çikolata aldım. 1 tanesini yarım saat bile beklemeden tükettim. Çok şiddetli karın ağrısı ve bulantı yaşadım. Diğer paketleri açınca küf şeklinde şeyler gördüm. İkinci defa böyle bir sorunla karşılaşıyorum. Belki markayla alakalı değildir ama...",""
"Ülker Be Happy İçinden Kurt Çıktı","07 Ağustos 01:14","49","Geçenlerde Migros'tan aldığım Ülker Be Happy çikolatasını bugün açtım. Yedikten sonra kardeşimin 'Abi, içinde kurt var' demesiyle kusmam bir oldu. Video ektedir. Sizin gibi bir firmaya yakıştıramadım. Ülker shoptan aldıklarımın hepsini çöpe attım o sinirle. Derhal bunun için bir açıklama bekliyorum.","..."
"Ülker Baklavalı Kat Kat Milföyün İçinden Saç Çıktı","06 Ağustos 21:53","69","Happy Center Hadımköy şubenizden Ülker markasına ait baklavalı bir Kat Kat aldım ancak paketin içindeki kağıdı çektiğimde milföyün üstünde uzun bir saç çıktı. Yani nasıl bir ortamda bu ürünler hazırlanıyor, anlamış değilim. Yiyeceğin üstünde apaçık ortada, nasıl fark edememişler, upuzun bir saç. Kes","..."
"Ülker Kekstra İlk Defa Mutlu Etmedi :(","06 Ağustos 18:18","7","Ülker Kekstra'dan böyle bir hata beklemezdim. Son paketi aldım, bu şekilde banttan yarım çıkmış. Paket açık kapanmamış ve dolayısıyla içindeki keki kurumuştu. Ülker gibi büyük bir firmadan böyle bir kalite kontrol hatası beklemezdim. Paketimde son kalan kekimdi, yarım çıkınca tüm hevesim kırıldı. Ka","..."
"Buklet Çikolata Ülker Bozulmuş","06 Ağustos 15:39","126","Ülker buklet çikolata görünüş itibariyle bozuk çıktı. Kutu çikolatanın hepsinin renginde soluklaşma var, birbirine yapışmış. Güneş görmeyen yerde muhafaza ettik, yanında duran çikolatalarda sorun yok. Son kullanma tarihi 2025. Ne yapılabilir bilmiyorum.",""
"Ülker Markalı Çikolatanın Eksikliğini Geçtim Bozuk Çıkması","06 Ağustos 13:46","82","6 Ağustos 2024 tarihinde Şok marketten aldığım Ülker çikolatanın paketini açtığımda yarısının olmadığını ve bozuk olduğunu gördüm. Aldığımız ürünü tüketemedik, tekrar mağazaya gitme şansım olmadığı için ürün elimde kaldı. Uzun bir süre Ülker marka çikolata almayacağım sanırım. Ülker iyice kendini bo","..."
"Ülker Kare Çikolatadaki Renk Değişimi Ve Küflenme Durumu","06 Ağustos 13:44","66","Marketten almış olduğum ürünü evde açtığımda ürünün renginde değişiklik olduğunu fark ettim. Çikolatanın arkasını çevirince de yer yer küflenmeler olduğunu gördüm. Çikolatayı olduğu gibi çöpe attım. Ülker neden her geçen gün ürünlerinin fiyatını arttırırken kalitesini azaltıyor anlamıyorum.",""
"Ülker Napoliten Çikolatalarımız Kusurlu Çıktı","06 Ağustos 12:02","43","Aldığım Napoliten çikolataların 2 paketinde de çikolatalar kusurluydu. Tarihi geçmemesine rağmen çikolataların rengi bozuk, tatları acıydı ve çikolatalar kuruydu lütfen sağlık için daha çok özenilsin. Nasıl bu şekilde paketleme yapılıyor. Açtığımızda şok olduk.",""
"Ülker Çikolata Kapalı Pakette Kurtlanmış","06 Ağustos 11:33","125","Ülker çikolatadan kurt çıktı. Üstelik sadece birinde değil bir pakette 4 adet çikolata kurtlanmış yanlışlıkla yemiş bile olabilirim çünkü 2. Pakette fark ettim. Tarihi bile geçmemiş ürünün. Tüm gün mide bulantısı çektim. Bu Ülker markasına yakışan bir durum değil...",""
"Ülker Çikolata Antep Fıstık Kabuğu Cıktı","06 Ağustos 09:16","118","Ülker Antep fıstıklı çikolata içinden Antep fıstığı kabuğu çıktı ve diş dolgum kırıldı. O an canımın acısından fotoğraf çekmeyi akıl edemedim maalesef.  Ülker'e de mi güvenemeyeceğiz! Yılların Ülker'i yani dişime mal oldu bir daha tercih etmeyeceğim ve önermiyorum da .",""
"Ülker Bozuk Ürün Çıktı","06 Ağustos 05:04","105","Migros'tan aldığım çikolata bozuk ve beyazlamış çıktı, resmen kokuyordu. Ülker markası iyice bozdu, bu ikinci oldu. Bir daha almayacağım, yazık verilen paraya. Bir de en ünlü marka, çocuklarım yiyor bunları, ayıp ya! Bir de o kadar para veriyoruz. Şikayet edeceğim sizi.",""
"Ülker Çikolatalarında Kalite Düşüşü Ve Müşteri Memnuniyetsizliği","06 Ağustos 04:10","91","Sayın Ülker yetkilileri, özellikle çikolatalı gofretin bağımlısı olan sürekli bir müşteriniz olarak belirtmek isterim ki çikolatalarınızın tamamında kalite ortadan kalkmış bulunmakta. Ne zaman 'belki bu sefer kalitelisi denk gelir' diye alıp çikolatanızı denesem bin pişman oluyorum. Eskiden beri sür","..."
"Ülker Makarneks'in Piyasaya Çıkış Tarihi Belirsizliği","05 Ağustos 23:58","123","2024 yılında çıkacağı söylenen Makarneks ne yazık ki hala piyasaya çıkmadı. Nissin'in 2022 açıklamasından beri hiçbir gelişme yok ve artık yılın sonuna gelmekteyiz. Çıkıp çıkmayacağına dair kesin ve detaylı bilgiyi tüketici olarak öğrenmek isteriz. Umarım çıkması kesin yönünde karar alınmıştır.",""
"Ülker Çokoprens'te Beklenmedik Yabancı Madde Sorunu","05 Ağustos 21:54","195","Ülker Çokoprens'in içinden yeşil renk naylon iplikler çıktı. Böyle bir şey nasıl olabilir? Bize ne yediriyorsunuz? Biraz daha kaliteli olsun diye aldığımız Ülker'in haline bakın. İçine ne koyduğunuz bile belli değil. İnsanlar size güveniyor, sizin yaptığınıza bakın.",""
"Ülker Mini ALL Star Çikolataların Bayat Olması","05 Ağustos 21:16","101","Ülker Mini All Star 168 gr poşette çikolata aldım. Bugün tadına baktım, gofret bayattı ve tadı kötüydü. Diğerlerinin de tadına baktım, hepsinin aynı şekilde bayat olduğunu fark ettim. Ben bu çikolatayı çocuğum için aldım ve bu şekilde bir durumla karşılaşmam hiç hoş değil!",""
"Ülker İade Ürün Teslim Gecikmesi.","05 Ağustos 20:50","80","Sayın Ülker grubu, Denizli bağbaşı bölgesinde çalışan elemana işletmemi zorunlu sebeplerden dolayı kapatacağımı ve kesin bir tarih belirtmeme rağmen iadeler bir türlü alınmadı ve beni çok büyük mağdur durumda bıraktı... Sözde çalışan elemanınız ""ayın başında söz gelip alacağım"" demesine rağmen gelen","..."
"Ülker Sütlü Çikolata Erimedi Şekerleşti","05 Ağustos 20:27","80","5 Ağustos 2024 salı günü aldığım Ülker sütlü çikolata tarihi geçmemesine rağmen benmari usulü eritmeye çalışırken şekerleşti ve dağıldı. Dolapta falan da bekletmedik benmari usulü yaklaşık 15 dakika beklettim erimesi için hiçbir şekilde erimedi. Size fotoğrafları aşağıya bırakıyorum.",""
"Ülker Dankek Mousse Mekanik Tat","05 Ağustos 19:54","81","Ülker Dankek mousse aldım; İçinden mekanik bir tat geliyor. Sanki nasıl tarif edilir. Bilemedim ama. İlk ısırıkta hissediliyor sonra alışıyorsunuz ama dikkat edilmeli diye düşünüyorum. Şikayet etmek amaçlı değil dikkat edilmesi için özellikle belirtmek istedim. İyi çalışmalar",""
"Ülker Halley Karadut Marmelatlı Üründe Kalite Sorunu","05 Ağustos 18:47","83","Ülker Halley Karadut Marmelatlı aldığım ürünün son tüketim tarihi yakın olmamasına rağmen çikolatası bozulmuş. Ülker gibi güvenilir bir şirkete bunu yakıştıramadık. Bu kadar kötü çikolata kullanmanız sonuçta insan sağlığını etkiliyor. Güvenip ürünlerinizi alıyoruz, sonra çöpe gidiyor.",""
