Season,Time,Content,Sentiment
Yaz,Gece,aylardır çeşitli bilişim dergilerinde ek bir dergicikle reklam yapan kuruluş,
Yaz,Gece,etkileyici görüntülü bir showroomu olan bilgisayar firması genelde aradığınız parçaları bulmanız ise zor malesef amd tbredler volcano coolerlar olmadıktan sonra neyleyim öyle showroomu 164 ekran plazma tv almaya gitmiormki,
Sonbahar,Akşam,5 euroya 100 tane içine cd sığmıyan cd zarfı satmış efsane firma içine cd sığmıyan cd zarfı ise oldukça ilginç,
İlkbahar,Sabah,topkapidan sonra bostancida da hiperstore adinda geni bir sati merkezi acarak buyumeyi hizlandirmi fakat online sati uzerine hicbir yatirim yapmayan firma,
İlkbahar,Sabah,sahibi bkz hasan vatan olan şirket,
Yaz,Akşam,bugun hatları kapandığı için kredi kartıyla alışveriş yapmak için hatların düzelmesini bekleyen müşterilerin oluşturduğu kuyrukla dolan dükkana sahip firma 45 dakika para verebilmek için bekledim ordan biliyorum internet sitelerinde de uzun zamandır yakında yazıyo,
Yaz,Gece,şu aralar bütün ürünlerine peşin fiyata 12 ay taksit yapan bilgisayar hiperstoru,
Sonbahar,Akşam,hakkında çok olumlu şeyler söyleyemeyeceğim firma ne zaman almak istediğim parça hakkında araştırma yapıp bir marka modelde karar kılsam ve fiyat listelerinde aradığım parçayı bulup alışverişe gitsem stoklarında istediğim parçanın olmadığını görüyoruminternet şubesinden stokları takip edememek ayrı bir dertken arayıp sorduğunuzda da doğru düzgün sizi anlayıp yanıt verebilecek bir muhattap bulamadığınız için önceden kontrol etmekte mümkün olmuyorsatış temsilcileri müşteriye nasıl davranacağını nasıl konuşacağını bilmiyor yada iplemiyor  her gelene istedikleri parçayı satabileceklerini sanıyorlar hoş alacağı şey hakkında bilgi sahibi olmadan gidenlere bol bol satış yapıyorlar kesinbir şubesi evime çok yakın olmasa ve piyasadan biraz daha yüksek olan fiyatlarını birsürü yol gidip gelmeye tercih etmesem hiç uğramayacaktım ama işte talihsizlik oldu muhattap olmak zorunda kaldım online alışveriş gibisi yoktur diyerekten entryi bitirirken küçüklerin gözlerinden büyüklerin ellerinden öpüyorum,
Sonbahar,Akşam,bostancışubesinin üst katında bedava çay içebileceğiniz yerdiğer şubesinde oluyor mu bilmiyorum çok sabırlı elemanlara sahip olan ve her müşteriye en az 2 görevli düşen mağaza,
Sonbahar,Öğlen,finans kartın olmadığı sürece vade farkından dolayı ekstra yüz milyonlar ödeyeceğin hafif kazıkçı kuruluş,
İlkbahar,Akşam,sattiklari tum urunler kullanilmis ustelik bozuk olan dunyanin en tuhaf teknik servis anlayisina sahip firma akli olanin onunden dahi gecmemesi gerektigi bariz bir gercektir,
İlkbahar,Öğlen,sitelerinde vatanda her sey 12 taksit gibi nal bir yazı yazan ama onun kenarına kücücük fontlarla sadece cardfinanslarına yazacak kadar müsteriyi aptal göre kurulus kardesim sunu doğru düzgün neden yazmıyorsun ben oraya gelince aa öyle mi sizin cardfinansınız yok mu doldurun su formu demek için mi bu ne iştir böyle,
Sonbahar,Öğlen,regal marka bir bilgisayari satmak icin yan tarafta bulunan hp marka urunu kotuleyebilen bir satis anlayisina sahip firmadir,
