"complaint-layer","username","js-tooltip","js-view-count","complaint-description","ellipsis-text","sv-model-button"
"Vodafone Uzun Süreli Müşteriye Yapılan Fiyat Artışı Haksızlığı","Resul","02 Ağustos 23:57","1","06.08.2024 tarihinde kullanmakta olduğum 30 GB İnternet, 3000 dakika, 250Sms Sınırsız Video, Sosyal, Müzik ve iletişim içerikli Red Tarifem Ultra Sınırsız Tarifemin 313,82 TL'den, 590TL Çıkartılıyor olması beni derinden üzmüştür. 12 Senelik Vodafone kullanmaktayım ve ödemelerimi düzenli otomatik öde","...","#Faturalı Tarifeler"
"Vodafone'dan Yüksek Fiyat Şoku: Müşteri Hizmetleri Cevap Vermiyor!","Filiz","02 Ağustos 23:50","-","Vodafone yanımda uygulaması üzerinden tesadüfen öğrendiğim taahhüdümün 06.08 tarihinde sona ereceği bilgisinden sonra müşteri hizmetleri ile görüşme yaptım. Şu anda ödediğim tutar vergiler dahil 140 TL. İçeriği ise 18gb internet, her yöne 2000 dakika ve 250 SMS Red'li 18gb paketi. Şu anda ise 3 yıll","...","#Faturalı Tarifeler"
"Vodafone Müşteri Hizmetlerinde Yaşanan Sorunlar Ve Yanlış Tarifeler","Vedat","02 Ağustos 23:15","62","Vodafone müşteri hizmetleri aradı. Kampanyalı tarifeler hakkında bilgi verdi. 100 liralık tarifeye geçişinizi yapacağız dedi, yalnız 200 TL'lik tarifeye geçiş yapmışlar, tutar 200 TL oluyor. Nasıl bir anlayışınız var, nasıl bir sisteminiz var, bir anlaşamadık. 20 yıldır bu şirketi kullanıyorum, son","...","#Faturalı Tarifeler"
"Vodafone'un Tarife Fiyatlarındaki Tutarsızlık Can Sıkıyor","Merve","02 Ağustos 23:09","-","Yıllardır Vodafone kullanıyorum ama her sene üzerine iki katlıyor. Aynı tarife birine farklı, diğerine farklı fiyat. Kime ne tuttururlarsa mı yani? Pes! Hem etrafımda hem burada okuduklarım, bir de müşteri hizmetlerinden aranıyorum, uzun süre bekliyorum. Kimse bağlanmıyor. Bıktırdı gerçekten.","","#Red"
"Vodafone Red'li Paketimin Sosyal Medya Sınırsızlığı Neden Kaldırıldı?","Hakan","02 Ağustos 23:02","75","","","#Red"
"Vodafone Ve Payguru İşbirliği İle Yaşanan Fatura Şoku","Meva","02 Ağustos 22:56","-","Bu yaşadığım haksızlığı sadece buraya yazmakla kalmayıp, tüm gerekli mercilere konuyu taşıyacağım. Vodafone, Payguru ile nasıl bir anlaşma yapıp biz müşterilerini bu şekilde mağdur etti. Gelen fatura akıllara zarar. Bir kredi kartı ile işlem yaparken kaç kez onay veriyoruz, Vodafone nasıl bu kadar","...","#Fatura"
"Vodafone Hat Teslimatında Yaşanan Gecikme Ve Sorunlar","İlkay","02 Ağustos 22:41","36","Vodafone yeni hat başvurusu yaptım online. Önce tıkla Gel Al başvurunuzu aldık. Hattınızı 3 gün içinde mağazalarımızdan 11302185890 başvuru no teslim alabilirsiniz dendi. Alamadım. Sonra kuryeye verildi. Ancak her gün Değerli müşterimiz, bölgenizde yaşanan yoğunluk nedeni ile teslimatlarımızda gecik","...","#Hat Başvurusu"
"Vodafone Sınırsız Paket Sorunu Ve Müşteri Hizmetleri İlgisizliği","Selim","02 Ağustos 22:35","42","Ben Vodafone hat kullanıcısıyım. Yaklaşık bir aydır sorun yaşıyorum. Çok mağdur durumdayım. Red tarifem Ultra Sınırsız 30GB paketini kullanıyorum. Paket içeriği olarak Instagram, Facebook, Youtube.com, Messenger, WhatsApp, Twitter, Spotify uygulamaları sınırsız ve 30GB normal internet veriyor. Ekstr","...","#Sınırsız Paket"
"Vodafone Paket Yükleme Sorunu Ve Müşteri Hizmetleri Hayal Kırıklığı","Khadija","02 Ağustos 22:28","31","1 Ağustos'ta Vodafone uygulamasından 1090 TL'lik paket yükleme yaptım, banka hesabımdan para çekildi ama hiçbir şey alamadım. O kadar hayal kırıklığın","...","#Kolay Paket"
"Vodafone'dan Yaşanan Paket Alım Sorunu Ve Mağduriyet","Serdar","02 Ağustos 22:15","4","Uzun yıllardır Vodafone faturasız hat kullanıyorum. Lakin bugünkü gibi bir sorun yaşamadım. Ayda genel olarak çoğu zaman iki kez paket aldığım halde, bana 500 TL'nin üzerinde mal olduğu halde Vodafone'dan gün içinde defalarca denediğim halde paket alamadım ve bu nedenle TL bakiyemden 39 TL karşılığı","...","#Faturasız Tarifeler"
"Vodafone'dan İstenmeyen Dijital Paket Ücreti Şoku","Ilgın","02 Ağustos 22:08","-","Yıllardır Vodafone kullanıyorum, hiç başıma gelmemişti. Ek paket almamama rağmen her ay '1240 Eğlence Dijital' adlı paket hesabıma yükleniyor ve 112,5 lira çekiyor. Müşteri hizmetlerine bağlanmak istediğimde ise tuşlamaya yönlendiriyor, tuşladıktan sonra yüzüme kapanıyor.","","#Ek Paketler"
"Vodafone FreeZone Profil Tanımlama Sorunu","Ferhat","02 Ağustos 21:48","-","Yıllardır Vodafone Mobil Hat abonesiyim. Hat benim üstüme kayıtlı, oğlum kullanıyor. 26 yaş altı FreeZone profili tanımlayıp imkanlardan faydalanmak istiyoruz fakat ne müşteri hizmetleri, ne Vodafone merkez şube, ne de Vodafone Yanımda uygulamasından hiçbir şekilde tanımlama yapamıyoruz. Kimse yardı","...","#FreeZone"
"Vodafone Tarife Seçeneklerinin Yetersizliği","Emre","02 Ağustos 21:48","-","Annemin Vodafone hattının taahhüdü bitti, önerilen en düşük tarife tutarı 530 TL. Daha uygun bir tarife de görüntülenemiyor. 10-15 GB internetle bir tarife uygun fiyata sunulmuyor. Taahhüt seçmezse 630 TL ödemesi gerekiyor. Operatör değişikliğine gerek kalmadan acil aksiyon rica ediyorum.","","#Taahhüt"
"Vodafone Mobil İnternet Bağlantısı Ve Müşteri Hizmetleri Sorunu","İbrahim","02 Ağustos 21:28","-","Vodafone mobil internet bağlantısı sorunu ve Tobi diye bir uygulama insanı sinir harbine sokuyor. Wi-Fi üzerinden bağlantılar sorunsuz ama mobilden internet bağlantısı yapamıyorum, e-Devlet'e giremiyorum. Sorun için müşteri temsilcisine bağlanma imkanı yok. Benimle muhatap olmayacaksanız neden müşte","...","#Mobil İnternet"
"Vodafone Yanlış Paket Ve Faturalı Hat Sorunu","Nazife","02 Ağustos 21:28","-","Vodafone'a numaramı taşımak için başvurdum. Vodafone Yanımda uygulamasından faturasız hat olarak Bütçe Dostu 20 GB olan 450 TL'lik tarifeli paketi seçtim. Eve teslim olsun dediğim halde, şubeden alabilirsiniz mesajı geldi. 31 Temmuz'da Nazilli Vodafone bayisine gittim. Tekrar tekrar faturasız olacak","...","#Faturasız Tarifeler"
"Vodafone Anında Bakiye Yükleme Sorunu","Bekir","02 Ağustos 21:21","-","Vodafone Anında Bakiye yükledim, 2 gündür hesabıma geçmedi. Aradığımda çalışma var, bugün yarın diyerek geçiştiriyorlar. Bir türlü anında bakiyeden düzgün hizmet alamıyorum. Bu gidişle zaten Vodafone'dan çıkacağım, yardımcı da olunmuyor. Her seferinde bir sorun yaşıyorum.","",""
"Vodafone Hediye Çeki Ve Müşteri Hizmetleri Sorunu","Gazanfer","02 Ağustos 21:07","2","Link at kampanyasından kazandığım 300 TL'yi hediye çekine çevirdim fakat hediye çekim yok. Müşteri hizmetlerini arıyorum, asla ulaşamıyorum. Tobi denen bir illete bağlıyor, ona yazıyorum, kendimi geliştirecek diyor. Çıldıracağım. Yazıklar olsun Vodafone, hiçbir şekilde çözüm bulamadım. En kısa süred","...",""
"Vodafone'dan 8 Yıllık Sadakate Rağmen Uygun Tarife Sunulmaması","Mehmet","02 Ağustos 20:59","-","8 yıldır Vodafone kullanıyorum. Maalesef her tarife değişikliğinde kullanmama rağmen fazla paketli tarife öneriyorlar, üstelik 8 yıldır Vodafone'lu olmama rağmen hiçbir ayrıcalık tanımadan sürekli aynı tarifinin 2 katlı fiyatını öneriyorlar. Daha uygun bir tarife istediğimde yardımcı olmuyorlar. Baş","...","#Faturalı Tarifeler"
"Vodafone Şebeke Sorunu: Güngören'de Bağlantı Kesintisi","İsmail","02 Ağustos 20:59","-","2 Ağustos Cuma günü saat 20.30'da, 2024'te İstanbul Güngören'den neden Vodafone şebekesi yok? Sorunun SIM kartlarda olduğunu düşündüm ama deneme yaptım, telefonu kapattım ve tekrar açtım. Meğerse şebeke yok. Gereğinin yapılmasını talep ediyor ve dönüş yapmanızı bekliyoruz.","","#Şebeke"
"Vodafone VoWifi Hizmetinin Google Pixel 7 Pro'da Kullanılamaması","Erhan","02 Ağustos 20:52","-","Telefonum desteklemesine rağmen operatör olarak sizin kullandığım telefon modeline destek vermemenizden ötürü VoWifi servisini kullanamıyorum, telefonum Google pixel 7 Pro. Telefonumun desteklenen telefonlar arasına alınmasını talep ederim, özellikle yurt dışı kullanım için elzem.","","#SIM Kartı"
